Title,Status,Manufacturer,Model,Asset Type,Color,Serial Number,Purchase Date,Purchase Price,Order #,Image
Surface Laptop 13,Available,Microsoft,Surface Laptop 7 13-inch,Laptop,Platinum,SL13-2024-001,2024-06-15,1299.99,ORD-2024-1001,https://raw.githubusercontent.com/microsoft/agent-academy/refs/heads/main/docs/recruit/00-course-setup/images/device-images/Surface-Laptop-13.png
Surface Laptop 13,Assigned,Microsoft,Surface Laptop 7 13-inch,Laptop,Black,SL13-2024-002,2024-06-15,1299.99,ORD-2024-1001,https://raw.githubusercontent.com/microsoft/agent-academy/refs/heads/main/docs/recruit/00-course-setup/images/device-images/Surface-Laptop-13.png
Surface Laptop 15,Available,Microsoft,Surface Laptop 7 15-inch,Laptop,Platinum,SL15-2024-001,2024-07-01,1599.99,ORD-2024-1002,https://raw.githubusercontent.com/microsoft/agent-academy/refs/heads/main/docs/recruit/00-course-setup/images/device-images/Surface-Laptop-15.png
Surface Laptop 15,Under Repair,Microsoft,Surface Laptop 7 15-inch,Laptop,Black,SL15-2024-002,2024-07-01,1599.99,ORD-2024-1002,https://raw.githubusercontent.com/microsoft/agent-academy/refs/heads/main/docs/recruit/00-course-setup/images/device-images/Surface-Laptop-15.png
Surface Pro,Available,Microsoft,Surface Pro 11,Tablet,Platinum,SP11-2024-001,2024-05-20,1199.99,ORD-2024-1003,https://raw.githubusercontent.com/microsoft/agent-academy/refs/heads/main/docs/recruit/00-course-setup/images/device-images/Surface-Pro-12.png
Surface Pro,Assigned,Microsoft,Surface Pro 11,Tablet,Black,SP11-2024-002,2024-05-20,1199.99,ORD-2024-1003,https://raw.githubusercontent.com/microsoft/agent-academy/refs/heads/main/docs/recruit/00-course-setup/images/device-images/Surface-Pro-12.png
Surface Pro,Available,Microsoft,Surface Pro 11,Tablet,Sapphire,SP11-2024-003,2024-08-10,1299.99,ORD-2024-1005,https://raw.githubusercontent.com/microsoft/agent-academy/refs/heads/main/docs/recruit/00-course-setup/images/device-images/Surface-Pro-12.png
Surface Studio,Available,Microsoft,Surface Studio 2+,Desktop,Platinum,SS2-2024-001,2024-04-01,4299.99,ORD-2024-1004,https://raw.githubusercontent.com/microsoft/agent-academy/refs/heads/main/docs/recruit/00-course-setup/images/device-images/Surface-Studio.png
Surface Studio,Assigned,Microsoft,Surface Studio 2+,Desktop,Platinum,SS2-2024-002,2024-04-01,4299.99,ORD-2024-1004,https://raw.githubusercontent.com/microsoft/agent-academy/refs/heads/main/docs/recruit/00-course-setup/images/device-images/Surface-Studio.png
Surface Laptop 13,Retired,Microsoft,Surface Laptop 7 13-inch,Laptop,Sage,SL13-2023-001,2023-11-15,1249.99,ORD-2023-0892,https://raw.githubusercontent.com/microsoft/agent-academy/refs/heads/main/docs/recruit/00-course-setup/images/device-images/Surface-Laptop-13.png
Surface Laptop 15,Available,Microsoft,Surface Laptop 7 15-inch,Laptop,Dune,SL15-2024-003,2024-09-05,1649.99,ORD-2024-1006,https://raw.githubusercontent.com/microsoft/agent-academy/refs/heads/main/docs/recruit/00-course-setup/images/device-images/Surface-Laptop-15.png
Surface Pro,Under Repair,Microsoft,Surface Pro 11,Tablet,Platinum,SP11-2024-004,2024-08-10,1199.99,ORD-2024-1005,https://raw.githubusercontent.com/microsoft/agent-academy/refs/heads/main/docs/recruit/00-course-setup/images/device-images/Surface-Pro-12.png
